spike_id,window_start,window_end,spike_type,severity,volume,baseline_volume,volume_change_ratio,fraud_rate,baseline_fraud_rate,failure_rate,unique_accounts,unique_devices,unique_ip_subnets,unique_pincodes,top_skus,anomaly_reasons,anomaly_score,coordination_score
spk-fest-20260114-07,2026-01-14T07:00:00,2026-01-14T08:00:00,legitimate_festive_spike,info,30,11.111,2.7,0.0,0.0197,0.1,29,29,16,19,"[{""sku_id"": ""sku_1001"", ""count"": 3}, {""sku_id"": ""sku_1012"", ""count"": 3}, {""sku_id"": ""sku_1011"", ""count"": 2}]","[""high_volume_with_preserved_diversity""]",1.566,0.127
spk-fest-20260114-08,2026-01-14T08:00:00,2026-01-14T09:00:00,legitimate_festive_spike,info,43,13.111,3.28,0.0,0.0197,0.0698,40,40,18,26,"[{""sku_id"": ""sku_1001"", ""count"": 8}, {""sku_id"": ""sku_1002"", ""count"": 4}, {""sku_id"": ""sku_1006"", ""count"": 2}]","[""high_volume_with_preserved_diversity""]",4.383,0.389
spk-fest-20260114-09,2026-01-14T09:00:00,2026-01-14T10:00:00,legitimate_festive_spike,info,57,18.556,3.072,0.0,0.0197,0.0702,52,52,20,29,"[{""sku_id"": ""sku_1001"", ""count"": 8}, {""sku_id"": ""sku_1015"", ""count"": 5}, {""sku_id"": ""sku_1002"", ""count"": 4}]","[""high_volume_with_preserved_diversity""]",3.833,0.418
spk-fest-20260114-10,2026-01-14T10:00:00,2026-01-14T11:00:00,legitimate_festive_spike,info,52,21.556,2.412,0.0385,0.0197,0.1346,46,46,20,33,"[{""sku_id"": ""sku_1001"", ""count"": 9}, {""sku_id"": ""sku_1002"", ""count"": 5}, {""sku_id"": ""sku_1003"", ""count"": 5}]","[""high_volume_with_preserved_diversity""]",4.77,0.82
spk-fest-20260114-11,2026-01-14T11:00:00,2026-01-14T12:00:00,legitimate_festive_spike,info,55,18.556,2.964,0.0,0.0202,0.0727,50,52,20,33,"[{""sku_id"": ""sku_1005"", ""count"": 5}, {""sku_id"": ""sku_1001"", ""count"": 5}, {""sku_id"": ""sku_1002"", ""count"": 5}]","[""high_volume_with_preserved_diversity""]",2.463,0.3
spk-fest-20260114-12,2026-01-14T12:00:00,2026-01-14T13:00:00,legitimate_festive_spike,info,54,22.778,2.371,0.0,0.0193,0.037,53,53,22,32,"[{""sku_id"": ""sku_1002"", ""count"": 7}, {""sku_id"": ""sku_1001"", ""count"": 4}, {""sku_id"": ""sku_1004"", ""count"": 4}]","[""high_volume_with_preserved_diversity""]",2.19,0.024
spk-fest-20260114-16,2026-01-14T16:00:00,2026-01-14T17:00:00,legitimate_festive_spike,info,64,19.889,3.218,0.0,0.019,0.1406,62,62,22,32,"[{""sku_id"": ""sku_1001"", ""count"": 10}, {""sku_id"": ""sku_1003"", ""count"": 4}, {""sku_id"": ""sku_1011"", ""count"": 4}]","[""high_volume_with_preserved_diversity""]",5.214,0.418
spk-fest-20260114-17,2026-01-14T17:00:00,2026-01-14T18:00:00,legitimate_festive_spike,info,73,23.556,3.099,0.0411,0.019,0.0685,65,65,22,34,"[{""sku_id"": ""sku_1001"", ""count"": 11}, {""sku_id"": ""sku_1004"", ""count"": 9}, {""sku_id"": ""sku_1002"", ""count"": 6}]","[""high_volume_with_preserved_diversity""]",3.041,0.57
spk-fest-20260114-18,2026-01-14T18:00:00,2026-01-14T19:00:00,legitimate_festive_spike,info,84,28.889,2.908,0.0238,0.0196,0.0833,73,74,21,40,"[{""sku_id"": ""sku_1001"", ""count"": 15}, {""sku_id"": ""sku_1002"", ""count"": 7}, {""sku_id"": ""sku_1005"", ""count"": 6}]","[""high_volume_with_preserved_diversity""]",4.494,0.79
spk-fest-20260114-19,2026-01-14T19:00:00,2026-01-14T20:00:00,legitimate_festive_spike,info,80,33.889,2.361,0.0375,0.0194,0.2,77,77,22,38,"[{""sku_id"": ""sku_1002"", ""count"": 10}, {""sku_id"": ""sku_1001"", ""count"": 9}, {""sku_id"": ""sku_1003"", ""count"": 6}]","[""high_volume_with_preserved_diversity""]",2.565,0.706
spk-fest-20260114-20,2026-01-14T20:00:00,2026-01-14T21:00:00,legitimate_festive_spike,info,79,26.667,2.962,0.0127,0.0199,0.0886,77,77,22,37,"[{""sku_id"": ""sku_1001"", ""count"": 10}, {""sku_id"": ""sku_1004"", ""count"": 6}, {""sku_id"": ""sku_1007"", ""count"": 5}]","[""high_volume_with_preserved_diversity""]",3.427,0.04
spk-fest-20260114-21,2026-01-14T21:00:00,2026-01-14T22:00:00,legitimate_festive_spike,info,49,23.778,2.061,0.0204,0.0201,0.1633,46,46,21,34,"[{""sku_id"": ""sku_1001"", ""count"": 10}, {""sku_id"": ""sku_1003"", ""count"": 5}, {""sku_id"": ""sku_1005"", ""count"": 2}]","[""high_volume_with_preserved_diversity""]",2.438,0.585
spk-fest-20260114-22,2026-01-14T22:00:00,2026-01-14T23:00:00,legitimate_festive_spike,info,39,13.222,2.95,0.0256,0.0199,0.0256,36,36,16,26,"[{""sku_id"": ""sku_1001"", ""count"": 6}, {""sku_id"": ""sku_1008"", ""count"": 4}, {""sku_id"": ""sku_1002"", ""count"": 3}]","[""high_volume_with_preserved_diversity""]",2.933,0.376
spk-fest-20260114-23,2026-01-14T23:00:00,2026-01-15T00:00:00,legitimate_festive_spike,info,24,6.0,4.0,0.0,0.0203,0.25,24,24,16,21,"[{""sku_id"": ""sku_1011"", ""count"": 3}, {""sku_id"": ""sku_1008"", ""count"": 3}, {""sku_id"": ""sku_1001"", ""count"": 2}]","[""volume_increase_without_coordination""]",2.84,0.5
spk-fest-20260115-07,2026-01-15T07:00:00,2026-01-15T08:00:00,legitimate_festive_spike,info,35,13.0,2.692,0.0286,0.022,0.0857,34,34,18,24,"[{""sku_id"": ""sku_1001"", ""count"": 4}, {""sku_id"": ""sku_1003"", ""count"": 3}, {""sku_id"": ""sku_1012"", ""count"": 2}]","[""high_volume_with_preserved_diversity""]",1.067,0.024
spk-fest-20260115-08,2026-01-15T08:00:00,2026-01-15T09:00:00,legitimate_festive_spike,info,36,16.1,2.236,0.0278,0.0224,0.0833,35,35,18,27,"[{""sku_id"": ""sku_1001"", ""count"": 5}, {""sku_id"": ""sku_1002"", ""count"": 2}, {""sku_id"": ""sku_1010"", ""count"": 2}]","[""high_volume_with_preserved_diversity""]",0.883,0.17
spk-fest-20260115-09,2026-01-15T09:00:00,2026-01-15T10:00:00,legitimate_festive_spike,info,53,22.4,2.366,0.0,0.0212,0.1509,48,49,20,29,"[{""sku_id"": ""sku_1001"", ""count"": 6}, {""sku_id"": ""sku_1002"", ""count"": 5}, {""sku_id"": ""sku_1006"", ""count"": 5}]","[""high_volume_with_preserved_diversity""]",1.31,0.467
spk-fest-20260115-10,2026-01-15T10:00:00,2026-01-15T11:00:00,legitimate_festive_spike,info,69,24.6,2.805,0.029,0.0212,0.0725,64,64,23,35,"[{""sku_id"": ""sku_1001"", ""count"": 12}, {""sku_id"": ""sku_1004"", ""count"": 5}, {""sku_id"": ""sku_1019"", ""count"": 4}]","[""high_volume_with_preserved_diversity""]",1.81,0.25
spk-fest-20260115-11,2026-01-15T11:00:00,2026-01-15T12:00:00,legitimate_festive_spike,info,56,22.2,2.523,0.0,0.0211,0.125,53,53,21,28,"[{""sku_id"": ""sku_1001"", ""count"": 7}, {""sku_id"": ""sku_1003"", ""count"": 5}, {""sku_id"": ""sku_1002"", ""count"": 5}]","[""high_volume_with_preserved_diversity""]",1.463,0.538
spk-fest-20260115-12,2026-01-15T12:00:00,2026-01-15T13:00:00,legitimate_festive_spike,info,79,25.9,3.05,0.0127,0.02,0.0759,69,69,22,38,"[{""sku_id"": ""sku_1001"", ""count"": 10}, {""sku_id"": ""sku_1002"", ""count"": 6}, {""sku_id"": ""sku_1003"", ""count"": 6}]","[""high_volume_with_preserved_diversity""]",2.36,0.664
spk-fest-20260115-17,2026-01-15T17:00:00,2026-01-15T18:00:00,legitimate_festive_spike,info,68,28.5,2.386,0.0,0.0201,0.1765,59,59,22,31,"[{""sku_id"": ""sku_1002"", ""count"": 6}, {""sku_id"": ""sku_1007"", ""count"": 6}, {""sku_id"": ""sku_1001"", ""count"": 6}]","[""high_volume_with_preserved_diversity""]",1.7,0.885
spk-fest-20260115-18,2026-01-15T18:00:00,2026-01-15T19:00:00,legitimate_festive_spike,info,81,34.4,2.355,0.0,0.0201,0.0617,74,75,22,37,"[{""sku_id"": ""sku_1001"", ""count"": 11}, {""sku_id"": ""sku_1002"", ""count"": 9}, {""sku_id"": ""sku_1004"", ""count"": 4}]","[""high_volume_with_preserved_diversity""]",1.21,0.309
spk-fest-20260115-19,2026-01-15T19:00:00,2026-01-15T20:00:00,legitimate_festive_spike,info,94,38.5,2.442,0.0106,0.0192,0.1596,84,84,21,37,"[{""sku_id"": ""sku_1001"", ""count"": 10}, {""sku_id"": ""sku_1002"", ""count"": 9}, {""sku_id"": ""sku_1004"", ""count"": 5}]","[""high_volume_with_preserved_diversity""]",1.981,0.82
spk-fest-20260115-20,2026-01-15T20:00:00,2026-01-15T21:00:00,legitimate_festive_spike,info,77,31.9,2.414,0.013,0.0193,0.0909,70,71,20,36,"[{""sku_id"": ""sku_1001"", ""count"": 10}, {""sku_id"": ""sku_1002"", ""count"": 9}, {""sku_id"": ""sku_1004"", ""count"": 6}]","[""high_volume_with_preserved_diversity""]",1.325,0.413
spk-fest-20260115-21,2026-01-15T21:00:00,2026-01-15T22:00:00,legitimate_festive_spike,info,51,26.3,1.939,0.0196,0.019,0.1373,49,50,17,29,"[{""sku_id"": ""sku_1001"", ""count"": 12}, {""sku_id"": ""sku_1002"", ""count"": 6}, {""sku_id"": ""sku_1004"", ""count"": 3}]","[""high_volume_with_preserved_diversity""]",1.177,0.232
spk-fest-20260115-22,2026-01-15T22:00:00,2026-01-15T23:00:00,legitimate_festive_spike,info,40,15.8,2.532,0.0,0.0193,0.125,40,40,20,30,"[{""sku_id"": ""sku_1001"", ""count"": 7}, {""sku_id"": ""sku_1007"", ""count"": 3}, {""sku_id"": ""sku_1003"", ""count"": 3}]","[""high_volume_with_preserved_diversity""]",1.049,0.087
spk-fest-20260116-18,2026-01-16T18:00:00,2026-01-16T19:00:00,legitimate_festive_spike,info,89,40.6,2.192,0.0337,0.0126,0.0562,85,85,23,37,"[{""sku_id"": ""sku_1001"", ""count"": 12}, {""sku_id"": ""sku_1004"", ""count"": 7}, {""sku_id"": ""sku_1007"", ""count"": 7}]","[""high_volume_with_preserved_diversity""]",0.78,0.022
spk-coord-20260118-02,2026-01-18T02:00:00,2026-01-18T03:00:00,suspicious_coordinated_spike,high,67,4.7,14.255,0.9254,0.0124,0.8507,44,10,3,4,"[{""sku_id"": ""sku_1050"", ""count"": 65}, {""sku_id"": ""sku_1017"", ""count"": 1}, {""sku_id"": ""sku_1006"", ""count"": 1}]","[""volume_above_baseline"", ""failure_rate_above_baseline"", ""many_accounts_per_device"", ""high_device_reuse"", ""ip_subnet_concentration"", ""sku_concentration"", ""elevated_device_velocity"", ""high_absolute_failure_rate"", ""shared_device_cluster"", ""narrow_sku_targeting""]",79.298,71.896
spk-coord-20260118-03,2026-01-18T03:00:00,2026-01-18T04:00:00,suspicious_coordinated_spike,high,55,3.2,17.188,0.8909,0.0253,0.8182,40,11,4,5,"[{""sku_id"": ""sku_1050"", ""count"": 52}, {""sku_id"": ""sku_1010"", ""count"": 1}, {""sku_id"": ""sku_1014"", ""count"": 1}]","[""volume_above_baseline"", ""failure_rate_above_baseline"", ""many_accounts_per_device"", ""high_device_reuse"", ""ip_subnet_concentration"", ""sku_concentration"", ""elevated_device_velocity"", ""high_absolute_failure_rate"", ""narrow_sku_targeting""]",42.148,34.264
spk-coord-20260118-04,2026-01-18T04:00:00,2026-01-18T05:00:00,suspicious_coordinated_spike,high,49,3.75,13.067,0.898,0.0377,0.8367,32,11,3,5,"[{""sku_id"": ""sku_1050"", ""count"": 46}, {""sku_id"": ""sku_1036"", ""count"": 1}, {""sku_id"": ""sku_1011"", ""count"": 1}]","[""volume_above_baseline"", ""failure_rate_above_baseline"", ""many_accounts_per_device"", ""high_device_reuse"", ""ip_subnet_concentration"", ""sku_concentration"", ""elevated_device_velocity"", ""high_absolute_failure_rate"", ""narrow_sku_targeting""]",30.697,23.231
