relative_hour_bucket,transaction_count,amount_usd,product_top,product_top_share,unique_product,unique_card1_proxy,card4_top,card4_top_share,addr2_top,addr2_top_share,identity_coverage,device_type_top,device_type_top_share,labelled_fraud_count,labelled_fraud_rate,labelled_fraud_amount_usd
143,283,34956.40700000001,W,0.7137809187279152,5,187,visa,0.7102473498233216,87.0,0.8480565371024735,0.254416961130742,desktop,0.19434628975265017,13,0.045936395759717315,1660.569
144,279,35537.769,W,0.6523297491039427,5,182,visa,0.6200716845878136,87.0,0.8781362007168458,0.31899641577060933,desktop,0.20430107526881722,10,0.035842293906810034,1071.299
145,211,24282.225000000002,W,0.7061611374407583,5,155,visa,0.6729857819905213,87.0,0.943127962085308,0.2843601895734597,desktop,0.17061611374407584,6,0.02843601895734597,888.1560000000001
146,186,19627.485,W,0.6344086021505376,5,140,visa,0.6612903225806451,87.0,0.9408602150537635,0.34946236559139787,desktop,0.27956989247311825,9,0.04838709677419355,866.9169999999999
147,162,16065.349000000002,W,0.6481481481481481,5,116,visa,0.6419753086419753,87.0,0.8827160493827161,0.35185185185185186,desktop,0.20987654320987653,5,0.030864197530864196,509.18399999999997
148,134,13648.010000000002,W,0.6343283582089553,4,92,visa,0.7388059701492538,87.0,0.8283582089552238,0.3582089552238806,mobile,0.208955223880597,6,0.04477611940298507,325.555
149,75,6654.6230000000005,W,0.4666666666666667,5,49,visa,0.6,87.0,0.68,0.52,desktop,0.3466666666666667,0,0.0,
150,35,3444.4089999999997,W,0.7142857142857143,4,29,visa,0.6,87.0,0.9428571428571428,0.2571428571428571,mobile,0.22857142857142856,2,0.05714285714285714,773.0
151,13,1271.63,W,0.9230769230769231,2,13,visa,0.6153846153846154,87.0,1.0,0.07692307692307693,desktop,0.07692307692307693,0,0.0,
152,7,831.9000000000001,W,0.8571428571428571,2,6,mastercard,0.5714285714285714,87.0,1.0,0.14285714285714285,mobile,0.14285714285714285,1,0.14285714285714285,311.95
153,15,1225.25,W,0.8666666666666667,3,12,visa,0.6,87.0,1.0,0.13333333333333333,desktop,0.06666666666666667,0,0.0,
154,14,913.7510000000001,W,0.5714285714285714,5,12,visa,0.7142857142857143,87.0,0.8571428571428571,0.42857142857142855,desktop,0.35714285714285715,0,0.0,
155,33,6247.648,W,0.45454545454545453,5,22,visa,0.6363636363636364,87.0,0.9696969696969697,0.5454545454545454,desktop,0.3333333333333333,0,0.0,
156,85,8138.634000000001,W,0.611764705882353,5,63,visa,0.6588235294117647,87.0,0.9529411764705882,0.3411764705882353,desktop,0.25882352941176473,1,0.011764705882352941,100.0
157,100,13046.885,W,0.7,5,74,visa,0.65,87.0,0.99,0.29,desktop,0.21,1,0.01,300.0
158,153,20645.63,W,0.6862745098039216,5,114,visa,0.6143790849673203,87.0,0.9738562091503268,0.3137254901960784,desktop,0.2679738562091503,1,0.006535947712418301,55.0
159,198,25751.304000000004,W,0.6565656565656566,5,138,visa,0.6868686868686869,87.0,0.9040404040404041,0.30303030303030304,desktop,0.21212121212121213,4,0.020202020202020204,323.803
160,264,33491.208,W,0.5946969696969697,5,170,visa,0.6477272727272727,87.0,0.8977272727272727,0.3712121212121212,desktop,0.2689393939393939,8,0.030303030303030304,897.3879999999999
161,224,37699.096000000005,W,0.6785714285714286,5,163,visa,0.6607142857142857,87.0,0.9419642857142857,0.29464285714285715,desktop,0.21875,4,0.017857142857142856,925.0
162,265,33206.629,W,0.6641509433962264,5,174,visa,0.6188679245283019,87.0,0.9358490566037736,0.3169811320754717,desktop,0.2528301886792453,8,0.03018867924528302,794.0
163,232,31722.584,W,0.646551724137931,5,172,visa,0.6681034482758621,87.0,0.9094827586206896,0.30603448275862066,desktop,0.23706896551724138,8,0.034482758620689655,893.149
164,272,31736.587,W,0.6727941176470589,5,172,visa,0.6286764705882353,87.0,0.9191176470588235,0.3088235294117647,desktop,0.22794117647058823,4,0.014705882352941176,119.467
165,278,31801.369000000002,W,0.6798561151079137,5,195,visa,0.6330935251798561,87.0,0.8884892086330936,0.3057553956834532,desktop,0.21223021582733814,8,0.02877697841726619,857.1570000000002
166,231,45324.943999999996,W,0.6926406926406926,5,162,visa,0.6623376623376623,87.0,0.8917748917748918,0.2683982683982684,desktop,0.23376623376623376,8,0.03463203463203463,2488.822
167,251,34545.701,W,0.7250996015936255,5,176,visa,0.649402390438247,87.0,0.8924302788844621,0.27091633466135456,desktop,0.19123505976095617,5,0.0199203187250996,369.233
168,239,26846.722,W,0.6736401673640168,5,171,visa,0.5815899581589958,87.0,0.9121338912133892,0.3138075313807531,desktop,0.1799163179916318,8,0.03347280334728033,1508.0
169,231,37337.734,W,0.6363636363636364,5,151,visa,0.6926406926406926,87.0,0.8917748917748918,0.354978354978355,desktop,0.21212121212121213,9,0.03896103896103896,2213.5
170,170,29150.45,W,0.5882352941176471,5,116,visa,0.6470588235294118,87.0,0.8941176470588236,0.4117647058823529,desktop,0.2529411764705882,1,0.0058823529411764705,59.0
171,140,15411.449,W,0.6642857142857143,5,108,visa,0.6142857142857143,87.0,0.9,0.32857142857142857,desktop,0.17857142857142858,5,0.03571428571428571,241.551
172,88,15305.146,W,0.6477272727272727,5,65,visa,0.6590909090909091,87.0,0.8409090909090909,0.3522727272727273,desktop,0.2159090909090909,3,0.03409090909090909,1824.936
173,78,5405.8730000000005,W,0.41025641025641024,4,57,visa,0.6282051282051282,87.0,0.6153846153846154,0.5897435897435898,mobile,0.3717948717948718,12,0.15384615384615385,775.788
174,29,2728.2369999999996,W,0.6896551724137931,4,24,visa,0.7586206896551724,87.0,0.8620689655172413,0.3103448275862069,mobile,0.20689655172413793,3,0.10344827586206896,193.947
175,16,1256.73,W,0.625,3,14,visa,0.8125,87.0,1.0,0.375,desktop,0.3125,0,0.0,
176,17,712.88,W,0.5882352941176471,3,14,visa,0.5882352941176471,87.0,1.0,0.35294117647058826,desktop,0.29411764705882354,0,0.0,
177,9,732.19,W,0.6666666666666666,3,8,visa,0.7777777777777778,87.0,0.8888888888888888,0.3333333333333333,desktop,0.2222222222222222,0,0.0,
178,15,1423.75,W,0.6666666666666666,3,15,visa,0.7333333333333333,87.0,1.0,0.3333333333333333,mobile,0.2,0,0.0,
179,32,3432.79,W,0.65625,4,29,visa,0.65625,87.0,0.96875,0.34375,desktop,0.3125,0,0.0,
180,57,6722.785,W,0.631578947368421,5,45,visa,0.6491228070175439,87.0,0.9649122807017544,0.3684210526315789,desktop,0.2807017543859649,0,0.0,
181,121,14734.616000000002,W,0.7107438016528925,5,94,visa,0.6776859504132231,87.0,0.9504132231404959,0.2892561983471074,desktop,0.19834710743801653,1,0.008264462809917356,75.0
182,183,30655.726,W,0.6065573770491803,5,135,visa,0.6174863387978142,87.0,0.9562841530054644,0.3442622950819672,desktop,0.273224043715847,0,0.0,
183,193,25992.162000000004,W,0.6062176165803109,5,140,visa,0.6062176165803109,87.0,0.9585492227979274,0.37823834196891193,desktop,0.3005181347150259,3,0.015544041450777202,542.825
184,264,33193.526,W,0.5492424242424242,5,174,visa,0.6515151515151515,87.0,0.8522727272727273,0.42803030303030304,desktop,0.32954545454545453,12,0.045454545454545456,952.3140000000001
185,290,44137.551999999996,W,0.6379310344827587,5,185,visa,0.6344827586206897,87.0,0.9241379310344827,0.3482758620689655,desktop,0.2827586206896552,9,0.03103448275862069,1113.116
186,298,43271.928,W,0.5939597315436241,5,195,visa,0.6476510067114094,87.0,0.8859060402684564,0.37583892617449666,desktop,0.2751677852348993,18,0.06040268456375839,2172.829
187,291,45162.594,W,0.6426116838487973,5,196,visa,0.6288659793814433,87.0,0.8900343642611683,0.3333333333333333,desktop,0.2508591065292096,20,0.06872852233676977,4020.479
188,254,42328.604,W,0.5984251968503937,5,171,visa,0.562992125984252,87.0,0.9015748031496063,0.3700787401574803,desktop,0.2992125984251969,14,0.05511811023622047,4118.856
189,309,46968.8,W,0.656957928802589,5,203,visa,0.6051779935275081,87.0,0.9320388349514563,0.3106796116504854,desktop,0.24271844660194175,8,0.025889967637540454,1129.973
