entity_type,entity_value,signal_kind,transaction_count,amount_usd,labelled_fraud_count,labelled_fraud_rate,labelled_fraud_amount_usd
addr2_proxy,54.0,PROXY SIGNAL,6,725.0,2,0.3333333333333333,300.0
addr2_proxy,55.0,PROXY SIGNAL,1,100.0,0,0.0,
addr2_proxy,57.0,PROXY SIGNAL,10,1220.0,0,0.0,
addr2_proxy,59.0,PROXY SIGNAL,17,948.819,0,0.0,
addr2_proxy,60.0,PROXY SIGNAL,3084,154048.83299999998,279,0.09046692607003891,15508.177
addr2_proxy,61.0,PROXY SIGNAL,3,159.85,0,0.0,
addr2_proxy,62.0,PROXY SIGNAL,4,700.0,0,0.0,
addr2_proxy,63.0,PROXY SIGNAL,2,100.0,0,0.0,
addr2_proxy,65.0,PROXY SIGNAL,82,7537.909,44,0.5365853658536586,4325.0
addr2_proxy,66.0,PROXY SIGNAL,2,42.617000000000004,0,0.0,
addr2_proxy,68.0,PROXY SIGNAL,10,650.0,1,0.1,100.0
addr2_proxy,69.0,PROXY SIGNAL,17,1043.954,0,0.0,
addr2_proxy,70.0,PROXY SIGNAL,1,25.0,0,0.0,
addr2_proxy,71.0,PROXY SIGNAL,7,540.094,0,0.0,
addr2_proxy,72.0,PROXY SIGNAL,6,175.44,0,0.0,
addr2_proxy,73.0,PROXY SIGNAL,5,214.0,1,0.2,100.0
addr2_proxy,74.0,PROXY SIGNAL,3,350.0,0,0.0,
addr2_proxy,75.0,PROXY SIGNAL,1,67.0,1,1.0,67.0
addr2_proxy,76.0,PROXY SIGNAL,2,50.0,0,0.0,
addr2_proxy,77.0,PROXY SIGNAL,1,100.0,0,0.0,
addr2_proxy,78.0,PROXY SIGNAL,8,583.35,0,0.0,
addr2_proxy,79.0,PROXY SIGNAL,1,75.0,0,0.0,
addr2_proxy,82.0,PROXY SIGNAL,1,41.0,1,1.0,41.0
addr2_proxy,83.0,PROXY SIGNAL,1,91.298,0,0.0,
addr2_proxy,84.0,PROXY SIGNAL,1,100.0,0,0.0,
addr2_proxy,86.0,PROXY SIGNAL,2,200.0,0,0.0,
addr2_proxy,87.0,PROXY SIGNAL,520481,76578238.53599998,12477,0.023972056616860173,2662387.5100000002
addr2_proxy,88.0,PROXY SIGNAL,5,389.212,0,0.0,
addr2_proxy,89.0,PROXY SIGNAL,1,31.0,0,0.0,
addr2_proxy,92.0,PROXY SIGNAL,2,121.0,2,1.0,121.0
addr2_proxy,93.0,PROXY SIGNAL,1,129.0,0,0.0,
addr2_proxy,94.0,PROXY SIGNAL,1,100.0,0,0.0,
addr2_proxy,96.0,PROXY SIGNAL,638,124173.226,89,0.13949843260188088,18400.0
addr2_proxy,97.0,PROXY SIGNAL,2,200.0,0,0.0,
addr2_proxy,98.0,PROXY SIGNAL,11,679.998,0,0.0,
device_type_proxy,desktop,PROXY SIGNAL,85165,7886291.448,5554,0.06521458345564493,449878.93700000003
device_type_proxy,mobile,PROXY SIGNAL,55645,3867584.528,5657,0.10166232365890916,546427.465
